Model: DeepFace_euclidean_l2_mtcnn_align_True, Target: deffcon, Image Count: 1
Model: DeepFace_euclidean_l2_mtcnn_align_True, Target: park, Image Count: 10
Model: DeepFace_euclidean_l2_mtcnn_align_True, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_mtcnn_align_True, Target: tak, Image Count: 1
Model: DeepFace_cosine_mtcnn_align_False, Target: deffcon, Image Count: 6
Model: DeepFace_cosine_mtcnn_align_False, Target: park, Image Count: 14
Model: DeepFace_cosine_mtcnn_align_False, Target: you, Image Count: 2
Model: DeepFace_cosine_mtcnn_align_False, Target: tak, Image Count: 2
Model: OpenFace_euclidean_l2_ssd_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_ssd_align_True, Target: park, Image Count: 2
Model: OpenFace_euclidean_l2_ssd_align_True, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_ssd_align_True, Target: tak, Image Count: 2
Model: OpenFace_euclidean_l2_dlib_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_dlib_align_False, Target: park, Image Count: 1
Model: OpenFace_euclidean_l2_dlib_align_False, Target: you, Image Count: 2
Model: OpenFace_euclidean_l2_dlib_align_False, Target: tak, Image Count: 0
Model: VGG-Face_cosine_opencv_align_False, Target: deffcon, Image Count: 0
Model: VGG-Face_cosine_opencv_align_False, Target: park, Image Count: 7
Model: VGG-Face_cosine_opencv_align_False, Target: you, Image Count: 3
Model: VGG-Face_cosine_opencv_align_False, Target: tak, Image Count: 13
Model: DeepFace_euclidean_opencv_align_True, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_opencv_align_True, Target: park, Image Count: 13
Model: DeepFace_euclidean_opencv_align_True, Target: you, Image Count: 0
Model: DeepFace_euclidean_opencv_align_True, Target: tak, Image Count: 13
Model: DeepFace_euclidean_l2_dlib_align_True, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True, Target: park, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True, Target: tak, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_False, Target: park, Image Count: 6
Model: OpenFace_euclidean_l2_retinaface_align_False, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_False, Target: tak, Image Count: 1
Model: DeepFace_euclidean_l2_opencv_align_False, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_l2_opencv_align_False, Target: park, Image Count: 3
Model: DeepFace_euclidean_l2_opencv_align_False, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_opencv_align_False, Target: tak, Image Count: 1
Model: OpenFace_cosine_opencv_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_opencv_align_False, Target: park, Image Count: 0
Model: OpenFace_cosine_opencv_align_False, Target: you, Image Count: 0
Model: OpenFace_cosine_opencv_align_False, Target: tak, Image Count: 2
Model: OpenFace_euclidean_mediapipe_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False, Target: park, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False, Target: you, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False, Target: tak, Image Count: 0
