Model: OpenFace_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: DeepID_cosine_retinaface_align_False_1, Target: deffcon, Image Count: 0
Model: DeepID_cosine_retinaface_align_False_1, Target: park, Image Count: 1
Model: DeepID_cosine_retinaface_align_False_1, Target: you, Image Count: 0
Model: DeepID_cosine_retinaface_align_False_1, Target: tak, Image Count: 0
Model: ArcFace_euclidean_opencv_align_False_8, Target: deffcon, Image Count: 0
Model: ArcFace_euclidean_opencv_align_False_8, Target: park, Image Count: 4
Model: ArcFace_euclidean_opencv_align_False_8, Target: you, Image Count: 2
Model: ArcFace_euclidean_opencv_align_False_8, Target: tak, Image Count: 2
Model: DeepID_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: DeepID_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: DeepID_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: DeepID_cosine_mediapipe_align_True_0, Target: deffcon, Image Count: 0
Model: DeepID_cosine_mediapipe_align_True_0, Target: park, Image Count: 0
Model: DeepID_cosine_mediapipe_align_True_0, Target: you, Image Count: 0
Model: DeepID_cosine_mediapipe_align_True_0, Target: tak, Image Count: 0
Model: Dlib_cosine_mtcnn_align_False_44, Target: deffcon, Image Count: 5
Model: Dlib_cosine_mtcnn_align_False_44, Target: park, Image Count: 4
Model: Dlib_cosine_mtcnn_align_False_44, Target: you, Image Count: 19
Model: Dlib_cosine_mtcnn_align_False_44, Target: tak, Image Count: 16
Model: VGG-Face_euclidean_l2_ssd_align_False_37, Target: deffcon, Image Count: 3
Model: VGG-Face_euclidean_l2_ssd_align_False_37, Target: park, Image Count: 8
Model: VGG-Face_euclidean_l2_ssd_align_False_37, Target: you, Image Count: 15
Model: VGG-Face_euclidean_l2_ssd_align_False_37, Target: tak, Image Count: 11
Model: VGG-Face_cosine_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_False_0, Target: park, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_False_0, Target: you, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: OpenFace_cosine_mtcnn_align_True_2, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_mtcnn_align_True_2, Target: park, Image Count: 2
Model: OpenFace_cosine_mtcnn_align_True_2, Target: you, Image Count: 0
Model: OpenFace_cosine_mtcnn_align_True_2, Target: tak, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_True_4, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_True_4, Target: park, Image Count: 2
Model: OpenFace_euclidean_l2_retinaface_align_True_4, Target: you, Image Count: 1
Model: OpenFace_euclidean_l2_retinaface_align_True_4, Target: tak, Image Count: 1
Model: DeepFace_cosine_opencv_align_False_9, Target: deffcon, Image Count: 0
Model: DeepFace_cosine_opencv_align_False_9, Target: park, Image Count: 7
Model: DeepFace_cosine_opencv_align_False_9, Target: you, Image Count: 0
Model: DeepFace_cosine_opencv_align_False_9, Target: tak, Image Count: 2
Model: DeepID_cosine_opencv_align_False_3, Target: deffcon, Image Count: 0
Model: DeepID_cosine_opencv_align_False_3, Target: park, Image Count: 0
Model: DeepID_cosine_opencv_align_False_3, Target: you, Image Count: 0
Model: DeepID_cosine_opencv_align_False_3, Target: tak, Image Count: 3
Model: DeepFace_cosine_mtcnn_align_True_22, Target: deffcon, Image Count: 2
Model: DeepFace_cosine_mtcnn_align_True_22, Target: park, Image Count: 12
Model: DeepFace_cosine_mtcnn_align_True_22, Target: you, Image Count: 1
Model: DeepFace_cosine_mtcnn_align_True_22, Target: tak, Image Count: 7
Model: DeepID_cosine_dlib_align_False_8, Target: deffcon, Image Count: 2
Model: DeepID_cosine_dlib_align_False_8, Target: park, Image Count: 1
Model: DeepID_cosine_dlib_align_False_8, Target: you, Image Count: 0
Model: DeepID_cosine_dlib_align_False_8, Target: tak, Image Count: 5
Model: FaceNet_cosine_dlib_align_False_0, Target: deffcon, Image Count: 0
Model: FaceNet_cosine_dlib_align_False_0, Target: park, Image Count: 0
Model: FaceNet_cosine_dlib_align_False_0, Target: you, Image Count: 0
Model: FaceNet_cosine_dlib_align_False_0, Target: tak, Image Count: 0
Model: DeepFace_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
